epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,129.505,0.49834,0.59399,0.86539,1,0.99237,0.995,0.89187,0.49404,0.42403,0.86763,0.00159905,0.00159905,0.00159905
83,130.919,0.51799,0.58982,0.84614,0.99274,0.99487,0.9949,0.89241,0.49989,0.40673,0.86503,0.0015941,0.0015941,0.0015941
84,132.469,0.55307,0.6026,0.87485,0.99274,0.99487,0.9949,0.89241,0.49989,0.40673,0.86503,0.00158915,0.00158915,0.00158915
85,133.874,0.53447,0.59157,0.85188,0.98479,0.99625,0.99469,0.89253,0.48117,0.41014,0.85992,0.0015842,0.0015842,0.0015842
86,135.203,0.52843,0.56337,0.86979,0.98479,0.99625,0.99469,0.89253,0.48117,0.41014,0.85992,0.00157925,0.00157925,0.00157925
87,136.757,0.51457,0.54466,0.86724,0.98258,0.98462,0.99444,0.88378,0.50075,0.41341,0.86981,0.0015743,0.0015743,0.0015743
88,138.191,0.54742,0.56653,0.88709,0.98258,0.98462,0.99444,0.88378,0.50075,0.41341,0.86981,0.00156935,0.00156935,0.00156935
89,139.596,0.52526,0.5637,0.87006,0.98256,0.98974,0.9942,0.89365,0.48783,0.41986,0.86395,0.0015644,0.0015644,0.0015644
90,140.999,0.51446,0.54486,0.8621,0.98256,0.98974,0.9942,0.89365,0.48783,0.41986,0.86395,0.00155945,0.00155945,0.00155945
91,142.554,0.51802,0.5604,0.86454,0.98467,0.98795,0.99426,0.89536,0.47612,0.42293,0.85989,0.0015545,0.0015545,0.0015545
92,143.977,0.53786,0.56396,0.8657,0.98467,0.98795,0.99426,0.89536,0.47612,0.42293,0.85989,0.00154955,0.00154955,0.00154955
93,145.4,0.53498,0.56317,0.85467,0.98865,0.98462,0.99459,0.89421,0.47999,0.41613,0.86355,0.0015446,0.0015446,0.0015446
94,146.788,0.47035,0.50877,0.85322,0.98865,0.98462,0.99459,0.89421,0.47999,0.41613,0.86355,0.00153965,0.00153965,0.00153965
95,148.33,0.47382,0.50527,0.84435,0.98382,0.99487,0.99469,0.88693,0.48408,0.39795,0.86612,0.0015347,0.0015347,0.0015347
96,149.804,0.5213,0.54061,0.85329,0.98382,0.99487,0.99469,0.88693,0.48408,0.39795,0.86612,0.00152975,0.00152975,0.00152975
97,151.257,0.51681,0.49789,0.82167,0.9932,0.99487,0.99485,0.88996,0.4859,0.39079,0.8664,0.0015248,0.0015248,0.0015248
98,152.713,0.51636,0.4999,0.8614,0.9932,0.99487,0.99485,0.88996,0.4859,0.39079,0.8664,0.00151985,0.00151985,0.00151985
99,154.183,0.49542,0.50941,0.83961,0.98928,0.98974,0.99469,0.89619,0.46489,0.39286,0.85961,0.0015149,0.0015149,0.0015149
100,155.513,0.50041,0.52113,0.86118,0.98928,0.98974,0.99469,0.89619,0.46489,0.39286,0.85961,0.00150995,0.00150995,0.00150995
101,156.994,0.49148,0.53037,0.84954,0.98974,0.98956,0.99454,0.89165,0.46569,0.37721,0.86004,0.001505,0.001505,0.001505
102,158.51,0.51748,0.51375,0.8825,0.98974,0.98956,0.99454,0.89165,0.46569,0.37721,0.86004,0.00150005,0.00150005,0.00150005
