epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,100.268,0.58028,0.6525,0.86823,0.99283,0.97949,0.9942,0.84805,0.59756,0.5402,0.90347,0.0016502,0.0016502,0.0016502
55,102.159,0.57768,0.75654,0.8909,0.9824,0.98974,0.99252,0.85442,0.5721,0.56516,0.89478,0.0016436,0.0016436,0.0016436
56,103.998,0.60442,0.65246,0.86846,0.99254,0.97949,0.98977,0.86581,0.55939,0.48288,0.88993,0.001637,0.001637,0.001637
57,105.769,0.57554,0.65139,0.86699,0.99254,0.97949,0.98977,0.86581,0.55939,0.48288,0.88993,0.0016304,0.0016304,0.0016304
58,107.56,0.6216,0.75186,0.90788,0.99378,0.97949,0.99135,0.87265,0.55,0.50166,0.89091,0.0016238,0.0016238,0.0016238
59,109.388,0.57576,0.68009,0.87134,0.99378,0.97949,0.99135,0.87265,0.55,0.50166,0.89091,0.0016172,0.0016172,0.0016172
60,111.144,0.60563,0.67704,0.87502,0.99368,0.98974,0.9938,0.87922,0.54988,0.4984,0.88658,0.0016106,0.0016106,0.0016106
61,112.952,0.57631,0.70819,0.90129,0.99875,0.98974,0.9948,0.87289,0.53406,0.44671,0.87575,0.001604,0.001604,0.001604
62,114.738,0.53449,0.60656,0.8508,0.99875,0.98974,0.9948,0.87289,0.53406,0.44671,0.87575,0.0015974,0.0015974,0.0015974
63,116.615,0.55895,0.62461,0.86449,0.99925,0.98974,0.99485,0.87393,0.5215,0.4227,0.87442,0.0015908,0.0015908,0.0015908
64,118.371,0.58968,0.58898,0.85975,0.99925,0.98974,0.99485,0.87393,0.5215,0.4227,0.87442,0.0015842,0.0015842,0.0015842
65,120.208,0.56033,0.69135,0.88765,1,0.98959,0.99446,0.86804,0.53023,0.43242,0.87685,0.0015776,0.0015776,0.0015776
66,122.065,0.57149,0.59249,0.86409,0.99958,0.98974,0.99485,0.87677,0.53953,0.41908,0.87432,0.001571,0.001571,0.001571
67,123.891,0.56116,0.59019,0.87297,0.99958,0.98974,0.99485,0.87677,0.53953,0.41908,0.87432,0.0015644,0.0015644,0.0015644
68,125.85,0.54733,0.63449,0.87309,0.99872,0.98462,0.9948,0.88536,0.51297,0.44552,0.86496,0.0015578,0.0015578,0.0015578
69,127.625,0.53905,0.62195,0.86268,0.99872,0.98462,0.9948,0.88536,0.51297,0.44552,0.86496,0.0015512,0.0015512,0.0015512
70,129.375,0.53816,0.65515,0.89865,0.99489,0.99876,0.99495,0.88936,0.48001,0.40614,0.85688,0.0015446,0.0015446,0.0015446
71,131.19,0.52762,0.57401,0.86737,0.99412,1,0.9949,0.87349,0.54899,0.40769,0.87722,0.001538,0.001538,0.001538
72,132.897,0.53508,0.61116,0.86825,0.99412,1,0.9949,0.87349,0.54899,0.40769,0.87722,0.0015314,0.0015314,0.0015314
73,134.759,0.53702,0.55791,0.87732,0.99415,1,0.9949,0.89226,0.49872,0.41293,0.86395,0.0015248,0.0015248,0.0015248
74,136.51,0.50176,0.5616,0.85554,0.99415,1,0.9949,0.89226,0.49872,0.41293,0.86395,0.0015182,0.0015182,0.0015182
75,138.345,0.57617,0.60058,0.86794,0.99489,0.99922,0.9949,0.88741,0.49949,0.4189,0.86628,0.0015116,0.0015116,0.0015116
76,140.079,0.59249,0.56375,0.87387,0.99486,0.99302,0.9949,0.89214,0.48028,0.41724,0.86517,0.001505,0.001505,0.001505
77,141.815,0.55464,0.61015,0.8719,0.99486,0.99302,0.9949,0.89214,0.48028,0.41724,0.86517,0.0014984,0.0014984,0.0014984
78,143.627,0.53151,0.57332,0.85441,0.9942,0.99487,0.99495,0.88488,0.53874,0.41685,0.86959,0.0014918,0.0014918,0.0014918
79,145.364,0.58886,0.54981,0.85466,0.9942,0.99487,0.99495,0.88488,0.53874,0.41685,0.86959,0.0014852,0.0014852,0.0014852
80,147.196,0.58986,0.56775,0.8707,0.99478,0.99487,0.995,0.87837,0.52688,0.42244,0.86719,0.0014786,0.0014786,0.0014786
81,148.982,0.58535,0.56786,0.86087,0.9934,0.99487,0.99495,0.90359,0.44733,0.40281,0.84738,0.001472,0.001472,0.001472
82,150.721,0.57005,0.5721,0.88602,0.9934,0.99487,0.99495,0.90359,0.44733,0.40281,0.84738,0.0014654,0.0014654,0.0014654
83,152.55,0.52056,0.56109,0.84786,0.99401,0.99487,0.9949,0.8973,0.47404,0.38824,0.85752,0.0014588,0.0014588,0.0014588
84,154.412,0.54779,0.5691,0.87754,0.99401,0.99487,0.9949,0.8973,0.47404,0.38824,0.85752,0.0014522,0.0014522,0.0014522
85,156.228,0.49791,0.54564,0.84988,0.9939,0.99487,0.9949,0.90649,0.44079,0.38812,0.84573,0.0014456,0.0014456,0.0014456
86,158.036,0.48579,0.55737,0.85529,0.99489,0.99855,0.99495,0.90089,0.46757,0.36888,0.85252,0.001439,0.001439,0.001439
87,159.708,0.55052,0.56869,0.84401,0.99489,0.99855,0.99495,0.90089,0.46757,0.36888,0.85252,0.0014324,0.0014324,0.0014324
88,161.503,0.55783,0.5504,0.85835,0.99488,0.99674,0.995,0.89993,0.47811,0.37504,0.8582,0.0014258,0.0014258,0.0014258
89,163.26,0.51951,0.50526,0.87083,0.99488,0.99674,0.995,0.89993,0.47811,0.37504,0.8582,0.0014192,0.0014192,0.0014192
90,164.963,0.52043,0.49126,0.85493,0.99441,1,0.995,0.90343,0.44738,0.36883,0.84841,0.0014126,0.0014126,0.0014126
91,166.671,0.4884,0.51752,0.83906,0.99439,1,0.99495,0.9131,0.42354,0.35603,0.84631,0.001406,0.001406,0.001406
92,168.362,0.48617,0.4961,0.85013,0.99439,1,0.99495,0.9131,0.42354,0.35603,0.84631,0.0013994,0.0013994,0.0013994
93,170.187,0.4995,0.49465,0.84861,0.99447,1,0.99495,0.91215,0.4417,0.36018,0.84757,0.0013928,0.0013928,0.0013928
94,171.919,0.47665,0.48206,0.84073,0.99447,1,0.99495,0.91215,0.4417,0.36018,0.84757,0.0013862,0.0013862,0.0013862
95,173.692,0.50544,0.50674,0.85453,0.99459,1,0.99495,0.91946,0.42702,0.35268,0.84061,0.0013796,0.0013796,0.0013796
96,175.429,0.49049,0.48215,0.83678,0.99462,1,0.99495,0.91577,0.4123,0.34169,0.83943,0.001373,0.001373,0.001373
97,177.111,0.49445,0.46861,0.85953,0.99462,1,0.99495,0.91577,0.4123,0.34169,0.83943,0.0013664,0.0013664,0.0013664
98,178.837,0.47917,0.48163,0.84606,0.9949,0.99984,0.9949,0.90478,0.43882,0.35306,0.84693,0.0013598,0.0013598,0.0013598
99,180.558,0.47528,0.471,0.84634,0.9949,0.99984,0.9949,0.90478,0.43882,0.35306,0.84693,0.0013532,0.0013532,0.0013532
100,182.275,0.4982,0.48147,0.85181,0.99482,1,0.9949,0.89723,0.49355,0.3733,0.85897,0.0013466,0.0013466,0.0013466
101,184.011,0.51525,0.46594,0.84755,0.99428,1,0.99495,0.90573,0.43587,0.36401,0.84349,0.00134,0.00134,0.00134
